Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
Jacky,https://www.tiktok.com/@kwokspots/video/7448678170468912389,31700000,1900000,8226,892400,386800,Cheese Stuffed Garlic Naan,original sound,Cheese stuffed garlic naan is a gamechanger. Full recipe on kwokspots.com link in bio  ,face,english,video,#garlicnaan #naan #christmasrecipes #foodie ,,honey,8,,,#airfryer,9,,,,,mix,75
Feel Good Foodie,https://www.tiktok.com/@feelgoodfoodie/video/7430913418804088106,31600000,81700,545,17200,7002,Crinkle Cake,original sound,#ad Try this crinkle cake recipe with @KerrygoldUSA salted butter! Using higher quality ingredients makes all the difference when the recipe has minimal ingredients. Kerrygold has a richer taste because it’s made with milk from Irish grass-fed cows that really elevates any dish!   *Recipe linked in bio!,faceless,english,video,#viralcrinklecake #phyllocrinklecake #ad,,like,8,,,#healthy,9,,,,,make,74
monica,https://www.tiktok.com/@monicas.macs/video/7208369840007007531,31600000,2000000,9428,1000000,151800,BEST BROWNIE RECIPE',Twin Me,fudgy browniess🤤 recipe by Handle the Heat: 5 tbsp butter 1 1/4 cups sugar 2 eggs plus 1 egg yolk 1 tsp vanilla 1/3 cup vegetable oil 3/4 cup cocoa powder 1/2 cup flour 1/8 tsp baking soda 1 tbsp cornstarch 1/4 tsp salt 3/4 cup chocolate chips ,faceless,english,video,#brownies #fudgybrownies #chewybrownies #brownierecipe #boxmixbrownies #bakingtiktok #baketok #desserts #foodie #baking #bakingaesthetic #bakingvideos ,,mini,8,,,#homemade,9,,,,,minutes,73
Taylor Chace,https://www.tiktok.com/@chacekitchen/video/7437257942027668782,31300000,75500,357,20500,5238,SAUSAGE TORTELLINI SOUP',Bossa Nova Easy Listening(1302379),"Soup Series Part 7: Stress-free sausage tortellini soup featuring @knorr granulated chicken bouillon for a rich, homemade flavor  Ingredients: 1 tbsp avocado oil ½ lb spicy italian sausage, removed from casing  ½ lb mild italian sausage, removed from casing  1 yellow onion, diced 10 garlic cloves, minced 6 tbsp tomato paste 1 28 oz can crushed tomatoes  3 tsp Knorr chicken bouillon 4 ½ cups water 1 tsp salt 1 tsp italian seasoning ½ tsp pepper ½ tsp red pepper flakes  Parmesan rind 12 oz tortellini, prepared per package 1.5 cup heavy cream  2 cups spinach, chopped  ½ cup basil, chopped ¼ cup parmesan cheese, shredded  Method: Cook tortellini according to the package (al dente). Strain and set aside.  Remove sausage from casing. In a large pot, heat up 1 tbsp avocado oil over medium high heat. Once your pan is hot, add sausage. Cook and crumble for about 6-8 minutes, until browned and cooked through. Remove from the pot and set aside.  Reduce heat to medium. Add onions and sauté for a few minutes before adding in the garlic. Cook for another few minutes, stirring so it does not burn. Add in tomato paste, salt, pepper, italian seasoning, and red pepper flakes. Stir in and let cook for 6-8 minutes or until the tomato paste starts to turn a slightly darker color. Make sure to stir frequently so it does not burn.  Add a can of crushed tomatoes and scrape up any brown bits stuck to the bottom of the pot. Add water, Knorr chicken bouillon, and parmesan rind. Bring to a boil, reduce to a simmer, cover, and let cook for about 15 minutes.  Remove parmesan rind. Make sure the temperature remains on low before adding heavy cream, cooked sausage, cooked tortellini, fresh spinach, fresh basil, and parmesan cheese. Stir well to ensure ingredients are incorporated. Enjoy!",face,english,video,#KnorrPartner #EffortIsEverything,,recipe,8,,,#lunchideas,9,,,,,baking,72
lissbakes,https://www.tiktok.com/@lissbakes/video/7217078745843207451,31300000,4100000,12600,998200,202000,oreo cheesecake ❤️',Cupid by Fifty fifty,"No bake Oreo Cheesecake 🖤🧀 RECIPE: 2 packs of Oreo, finely crushed  65g melted butter 🧈 ( refrigerate the crust for 10-15 minutes )  500g cream cheese (room temp)  1/2 cup icing sugar  Refrigerate the cheesecake for 5 hours ⏳ & now you’re good to go! ✨  ",faceless,english,video,#nobakeoreocheesecake #nobakecheesecake #oreocheesecake #oreo #cheesecake #easyrecipe #baking #ramadanrecipes #bukapuasa #fyp #foryoupage ,,salad,8,,,#mukbang,9,,,,,sauce,72
Vera's Home 🌸,https://www.tiktok.com/@veras.home/video/7324734967299280161,31000000,1000000,4827,331300,61100,Snackplatte',Somewhere Only We Know,#snackplate #snackplatte #snacks #food #foodtiktok #snack #CapCut ,faceless,german,video,#snackplate #snackplatte #snacks #food #foodtiktok #snack #CapCut ,,air,7,,,#yummy,9,,,,,so,72
thehouseofcakes_mzra,https://www.tiktok.com/@thehouseofcakes_mzra/video/7204560878816005419,30800000,2100000,5748,465400,50800,You can also add salt if you like salted caramel',Flowers,"I use this as cake fillings. Make sure youre using real butter and not marg or youll get too much liquid. I did:1 cup sugar, 85 grams butter, and just under 1/2 a cup of cream/milk (and a pinch of salt). i put it in a different pan later because i needed it to cool faster ",faceless,english,video,#lifehack #diy #easy #simple #homemade #homebaker #smallbusiness #baker #bakerylife #caramel #bubbles ,,be,7,,,#aesthetic,8,,,,,all,71
Ninja Kitchen,https://www.tiktok.com/@ninjakitchen/video/7470621012065815851,30200000,562600,8949,126800,233900,New Ninja Alert',original sound,🚨 New Ninja Alert 🚨  Unboxing the Ninja Swirl™ by CREAMi®. 📦 🍦    Bring the ice cream shop to your countertop. Link in bio to purchase.   ,faceless,english,video,#NinjaSwirl #NinjaCREAMi,,food,7,,,#brownies,8,,,,,pepper,68
The Golden Balance,https://www.tiktok.com/@thegoldenbalance/video/7476224138147892522,30100000,2600000,12100,906900,398700,Honey BBQ Tenders,original sound,Honey BBQ Chicken Tenders 😮‍💨 (Ramadan Chronicles Pt. 1),face,english,video,N/A,,ingredients,7,,,#easydinner,8,,,,,&,67
Suzy,https://www.tiktok.com/@happytummy_702/video/7376665360986066219,30000000,2800000,10900,497300,207500,I hope it came close',original sound,"Drooling over the VIRAL Dubai  knafeh CHOCOLATE BAR I’ve been seeing on my fyp, how about you? Let’s try make it - recipe below ❤️ RECIPE👇🏼 You’ll need: Any silicone molds that have at least ½ inch (1½cm) depth. Mold I used was 6½x2¾x½ inch (16½x7x1½cm) Ingredients: - 3 tbsp (42g) butter - 8oz (227g) kataifi (shredded phyllo dough) - 4 (3-4oz) chocolate bars (340-454g), melted  - 1 jar (200g) pistachio cream  - 1/4 cup (56g) tahini Optional : white chocolate/colored candy melts to drizzle for decoration  Instructions: 1. Remove kataifi from freezer and allow to defrost for 1 hour, this will make for easier chopping. Melt butter on medium heat and add chopped kataifi, toasting it for 8-10 mins until golden brown. Transfer to large mixing bowl and allow to cool.  2. Reserve a small handful of chocolate and melt the rest, using a microwave (30-sec increments) or over a double boiler. Once it’s melted and smooth, add the remaining handful and stir. Melt any decorating chocolate in small bowls.  3. Combine pistachio cream and tahini to cooled kataifi, and mix until well combined.  4. Drizzle any decorative chocolate into molds and chill in fridge for 10 mins. Pour in main chocolate. Tilt mold sideways or upside-down to allow excess chocolate to drip off. Chill in fridge for another 10 mins until set.  5. Spoon in filling and level. Pour more chocolate and spread evenly using an offset spatula. Chill in fridge for 30mins-1 hour, carefully detach from mold, and ENJOY. Store in fridge if you actually have any leftover 🍫 ",faceless,english,video,#whatsyourfix #knafeh#whatsyourfix#fixdessertchocolatierlate #chocolaterecipe  #cantgetknafehofit #viraldubaichocolate #chocolatebar ,,potato,7,,,#pastalover,8,,,,,at,64
Tasty,https://www.tiktok.com/@tasty/video/7234581366963277102,29900000,3700000,6257,1500000,208200,We Tested 50 Chocolate Chip Cookie Recipes And Here's The Best One',original sound,@Mimo shares Tasty’s 5 tips to making the perfect chocolate chip cookie. Full recipe in our bio!! 🍪  ,faceless,english,video,#chocolatechiprecipe #cookies #bestchocolatechipcookies,,strawberry,7,,,#tiktokfood,8,,,,,over,64
Coco’s Recipes,https://www.tiktok.com/@halfacoco/video/7229247505731423514,29400000,887000,2460,131600,85700,Upside down Hot Dog Puffs 🌭',Rapp Snitch Knishes (Live Instrumental),Upside down Hot Dog puffs  I made this due to high demand 😋  Ingredients: Ready rolled puff pastry Hot dog sausages  Egg yolk Mustard Ketchup Oil 1. Preheat the oven to 180c/350f. Drizzle a little oil on a lined baking sheet. Slice the sausages lengthways and place flat side onto the baking sheet. 2. Cut the puff pastry to length and place on top of the sausage. Brush with egg yolk and bake for 20 minutes until puffed up and golden. 3. Turn the hotdogs over and spread mustard and ketchup. Bring the two halves together and enjoy! ,faceless,english,video,#hotdog #upsidedownpastry #puffpastryrecipe #recipes #hotdogpuff ,,stuffed,7,,,#cakes,7,,,,,from,63
Food by Laila🍜,https://www.tiktok.com/@foodbylaila/video/7445735143077186848,29200000,4800000,7801,422900,385800,i love',chest pain by malcolm todd,pasta <3 #CapCut #foodbylaila #pasta #fyp ,faceless,english,video,#hotdog #upsidedownpastry #puffpastryrecipe #recipes #hotdogpuff ,,bake,6,,,#cheesecake,7,,,,,flour,60
Chahrazad’s Cuisine,https://www.tiktok.com/@chahrazadscuisine/video/7104680535443688706,28600000,1100000,2893,38500,4137,The Geode Cake,original sound,The Geode Cake! What do you think? ,faceless,english,video,#cakes #yummy #satisfyingvideos #fyp #foryoupage,,beef,6,,,#cookwithme,7,,,,,are,59
iramsfoodstory,https://www.tiktok.com/@iramsfoodstory/video/7467302942593338667,28500000,2100000,4947,872200,282700,LEVAIN BAKERY TWO CHIP CHOCOLATE CHIP COOKIES',original sound,N/A,faceless,english,video,N/A, ,ideas,6,,,#delicious,7,,,,,large,58
Kookmutsjes,https://www.tiktok.com/@kookmutsjes/video/7196648091854900486,28200000,2400000,6576,857900,226500,Chicken honey,Sunshine,"Today’s kitchen: Honey chicken - make this your dinner and it will be a succes! | 😍 CHICKEN MARINADE ▫️500 gr chicken fillet ▫️6 gr salt (1 tsp) ▫️3 gr garlic powder (1 tsp) ▫️2 gr black pepper (⅔ tsp) FLOUR MIXTURE ▫️1 egg (m) ▫️150 ml water ▫️1.5 gr salt (¼ tsp) ▫️2 gr black pepper (⅔ tsp) ▫️3 gr garlic powder (1 tsp) ▫️120 gr flour ▫️3 gr baking powder (1 tsp) ▫️sunflower oil SAUCE ▫️15 ml sunflower oil ▫️1 garlic clove ▫️85 gr honey ▫️100 gr ketchup ▫️20 gr soy sauce Cut the chicken fillet into small pieces. Add the salt, garlic powder, and black pepper. Mix well. Put the egg in a deep bowl. Add the water, salt, garlic powder, flour, and baking powder. Mix until a uniform mixture. Add the chicken pieces and let stand for 10 minutes. Heat a layer of sunflower oil in a frying pan over medium-high heat (170 ℃). Fry the chicken until golden brown on both sides. Put the sunflower oil in a pan and add the grated garlic. Fry for 2 minutes. Add the honey, ketchup, and soy sauce. Cook for 2 minutes over low heat. Add the chicken and let it cook until the sauce is well absorbed. ",faceless,english,video,#kookmutsjes #chicken #honey #honeychicken #dinner #yummy #food #rice #alhamdulillah #delicious #foryou #foryoupage #foodtiktok #fyp,,making,6,,,#desserts,7,,,,,if,56
DiSA👩🏻,https://www.tiktok.com/@foodfromheaven2/video/7345605037353192736,28000000,325100,952,177400,88600,What's something you're holding onto that's still hurting you?,Originalton,#banananutella #bananapastry #bananacroissant #quickdessert #dessertideas #ramadanrecipes #easyrecipe ,faceless,english,video,#banananutella #bananapastry #bananacroissant #quickdessert #dessertideas #ramadanrecipes #easyrecipe,,nutella,6,,,#fypage,7,,,,,5,54
Maja✨,https://www.tiktok.com/@majasrecipes/video/7451706223927348486,27900000,2200000,10500,880800,253600,posting',original sound,"day 99/100: CREAMY CHICKEN GARLIC PARMESAN PASTA🔥✨  FULL RECIPE LINKED IN BIO or go comment on my ig post to have the full recipe sent to ur DMs🥰 If you’re looking for a delicious & quick pasta meal, look no further! The chicken is perfectly seasoned & the pasta sauce is unreal!! A must try. Or Google “majas recipes garlic parm pasta” Welcome to my 100 day recipe series! Cannot believe we only have 1 day left… 😭♥️♥️  Thank you to everyone who’s followed along it’s been quite the journey ily guys so much!  Stay Hungry, Maja♥️ See you tomorrow for DAY 100! ",faceless,english,video,#easyrecipe #easyrecipes #christmasdinner #christmastiktok #pastatok #pastalover #foodtok #quickrecipes #christmasfood #mealprep #gainz #chicken #chickenrecipes #creamypasta #pastarecipe ,,only,6,,,#fypシ゚viral,7,,,,,cups,54
bienbento,https://www.tiktok.com/@bienbento/video/7201031760291925250,27600000,2500000,9094,224000,96700,Pack lunch for my husband 🐻',Spirited Away - The Name of Life - Main Theme,Pack my husband’s bento🐻  Today is a simple bento with ,faceless,english,video,#卵焼き #肉団子 #セロリの酢の物 #carrotsalad . . #packinglunchformyhusband #husbandslunch #packlunchformyhusband #bento #japanesefood #bentobox #lunchbox #lunchideas #mealprep #homemade #foodie #cookingtiktok #foodtiktok #healthyeating #tamagoyaki #celery #carrot #お弁当 #弁当 #도시락 #도시락싸기 #도시락반찬 #fy #fyp,,pasta',6,,,#lunch,7,,,,,.,53
Cherie,https://www.tiktok.com/@thrivingonplants/video/7344866207977295111,27200000,291800,517,23900,6335,vegetable tempura',original sound,"Vegetable Tempura 🍠✨ This recipe will give you the most light, airy and crispy batter for your veggies! #ad It’s also egg-free, uses simple ingredients and makes the perfect appetiser 👉 I love that this ASMR video has been brought to life through @Photoshop thanks to @Diego PH!  FULL RECIPE:   Veggies  1 bunch asparagus, halved Handful of green beans, trimmed 1 sweet potato, thinly sliced 1 small wedge pumpkin, thinly sliced 1 oyster mushroom, thinly sliced  1 carrot, thinly sliced  Batter 1/2 cup plain flour 1/3 cup cornstarch 1/4 tsp baking powder 1/2 tsp salt 1/4 tsp white pepper 1/4 tsp ground chilli 3/4 cup cold sparkling/soda water Oil, for frying Method:  1. Prepare all your vegetables and set aside. 2. Heat up the oil over medium high heat in a pot or deep pan. In the meantime, add your flour, cornstarch, baking powder, salt, pepper and chilli into a bowl. Whisk to combine. Gradually pour in your sparkling water and whisk until smooth. It should be the consistency of a runny pancake batter, if it needs to be thicker simply add in an extra few tbsp of cornstarch and flour.  3. Once your oil is hot, fry each ingredient in batches. Place on a tray lined with paper towels or a cooling rack to let the excess oil drain out.  4. Enjoy while hot! You can also add on your choice of seasoning to coat the outside and make your own dipping sauce to go with it.  ",faceless,english,video,N/A,,4,5,,,#nutella,7,,,,,can,52
Jalalsamfit,https://www.tiktok.com/@jalalsamfit/video/7399756083234917664,27000000,1500000,3214,917100,211600,8 Easy Delicious High Protein Meal Prep Ideas for the week Part 2',Autumn Leaves,Find all recipes on my page! ,faceless,english,slideshow,#mealprep #Recipe #healthyrecipes #highprotein #EasyRecipes #Foodie #weightloss #chicken #lowcalorie #mealideas ,,brownies,5,,,#pastatiktok,7,,,,,chopped,52
Alessandra,https://www.tiktok.com/@alessandrabrontsema/video/7488846288893529390,27000000,60100,229,10900,2988,Mini lemon meringue tarts 🍋',Nice and Easy,"#ad Making the most delicious mini lemon meringue tarts with @KerrygoldUSA Find the full recipe below and be sure to get Kerrygold butter for your next dish 🍋  Graham Cracker Crust - 1 and 1/2 cups graham cracker crumbs (about 12 full sheet graham crackers) - 1/4 cup granulated sugar - 6 Tablespoons Kerrygold unsalted butter, melted Lemon Curd - 5 large egg yolks - 1 and 1/3 cups water - 1 cup granulated sugar - 1/3 cup cornstarch - 1/4 teaspoon salt - 1/2 cup fresh lemon juice - 1 Tablespoon lemon zest - 2 Tablespoons Kerrygold unsalted butter Meringue - 5 large egg whites, at room temperature - 1/2 teaspoon cream of tartar - 1/2 cup granulated sugar - 1/8 teaspoon salt -mix graham cracker crumbs with sugar and melted Kerrygold butter  -press graham cracker mixture into ramekins or tart pans. Bake at 350 for about 10 minutes until golden brown  -combine water, sugar, cornstarch, salt, lemon juice and lemon zest in a sauce pan and whisk on medium heat until mixture begins to thicken, about 5-7 minutes. While that is thickening separate your egg yolks from your egg whites. Set egg whites aside for the meringue.  -whisk the egg yolks and then slowly add in a spoonful of the warm stovetop mixture into the egg yolks, mixing quickly to not cook the eggs. Repeat this a few times and then reduce the stovetop heat and whisk in the egg yolk mixture.  -continue to mix the curd on the stovetop until the mixture is thick and bubbles at the surface.  -add lemon curd to pre baked crusts and let cool in the fridge for at least 1 hour.  -make the meringue by mixing egg whites, cream of tartar and salt with a handheld mixer. Whisk until soft peaks form and then add in sugar and continue to mix until stiff peaks form.  -add meringue to cooled lemon tarts and use a spoon to create peaks. Toast with a torch or enjoy as is! Best enjoyed within one day! Store in the fridge until you are ready to enjoy! ",face,english,video,#ad #lemon #lemonmeringue  #lemondessert,,butter,5,,,#vegan,7,,,,,about,51
